system   D            wsystem.c:583  maybe_parent_dir                 [   0.00035] Also searching D:\code\Orchid\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00065] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00072] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00462] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.05715] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.05722] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.05863] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.07661] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07663] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07664] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07665] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07666] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07668] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07669] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07670] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07671] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07672] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07673] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07674] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07675] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07676] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07678] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07679] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07680] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07681] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07682] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07683] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07684] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07685] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07687] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07688] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07689] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07691] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07694] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07696] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07697] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07698] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07700] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07704] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07705] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07707] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07708] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07709] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07710] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07711] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07713] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07714] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07715] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07716] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07717] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07718] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07719] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07720] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07721] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07723] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07724] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07725] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07726] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07727] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.07728] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07730] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07734] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07735] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07738] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07741] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07742] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07745] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07746] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07752] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07753] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07754] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07755] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07756] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07757] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07758] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07759] Score is : 897
