system   D            wsystem.c:583  maybe_parent_dir                 [   0.00044] Also searching C:\Code\Orchid\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00075] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00077] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01728] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.02859] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.02869] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.03174] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.03331] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03335] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03337] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03340] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03342] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03344] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03348] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03350] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03352] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03354] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03356] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03359] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.03363] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03366] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03368] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03370] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03372] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03375] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03377] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03379] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03381] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03383] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03386] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03388] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03392] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03394] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03396] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03398] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03400] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03402] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03405] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03414] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03416] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03418] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03421] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03423] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03425] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03427] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03429] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.03432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03440] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03451] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03453] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03455] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03458] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03460] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03467] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03470] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03472] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03474] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03476] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03478] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03480] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03482] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03485] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03487] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03489] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03491] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03493] Score is : 769
